iteration,cumulative_exposure,positional,2-gram,3-gram,lstm_predictability
1,0.128,0.46306835937499996,0.4430267518939395,0.743775390625,0.5276891225312789
2,0.256,0.2214375,0.16666938538611925,0.34016406250000003,0.4823047785143646
3,0.384,0.106337890625,0.06280924288245357,0.232466796875,0.4730280486023821
4,0.512,0.052712890624999995,0.029909600668988276,0.21313867187500002,0.47153163105413165
5,0.64,0.03191796875000001,0.01986496517595309,0.209484375,0.4660449652878009
6,0.768,0.022878906250000008,0.01844956431757088,0.209166015625,0.46805711946775186
