iteration,tvd,cumulative_exposure
1,0.38817302195231124,0.032
2,0.26165650685628256,0.064
3,0.23378993225097655,0.096
4,0.2295262247721354,0.128
5,0.22908547973632815,0.16
6,0.22944570922851565,0.192
