2-gram,3-gram,iteration
0.4430452846254886,0.8445059117620891,1
0.16627255353433534,0.41060714283496,2
0.060887747815860156,0.26790229309004837,3
0.022386095391923263,0.23518881253330873,4
0.011278792842741948,0.22931761446965596,5
0.007990162779508805,0.2285538435341298,6
