iteration,tvd,cumulative_exposure
1,0.6404589385986329,0.021333333333333333
2,0.32776039886474606,0.042666666666666665
3,0.26257911173502607,0.064
4,0.2387105941772461,0.08533333333333333
5,0.23193254597981772,0.10666666666666666
6,0.22941999816894532,0.128
