iteration,tvd,cumulative_exposure
1,0.46366829427083334,0.021333333333333333
2,0.22100553385416669,0.042666666666666665
3,0.10638932291666667,0.064
4,0.052012044270833335,0.08533333333333333
5,0.025649088541666667,0.10666666666666666
6,0.014464192708333334,0.128
